"category","title","level","description","starter_code","test_cases","hints","id"
"python-basics","Palindrome Checker","beginner","Bir kelimenin veya cümlenin palindrome olup olmadığını kontrol et.
Büyük/küçük harf fark etmesin, boşluk ve noktalama işaretlerini yok say.
Örnek: 'A man a plan a canal Panama' → True","def is_palindrome(text: str) -> bool:
    # Buraya kodunu yaz
    pass","[{""input"": ""radar"", ""expected"": true}, {""input"": ""Python"", ""expected"": false}, {""input"": ""A man a plan a canal Panama"", ""expected"": true}, {""input"": ""hello"", ""expected"": false}]","[""💡 İpucu 1: Önce metnin yalnızca harf ve rakamlardan oluşan temiz halini oluştur. ''.join(...) ve str.isalnum() kullanabilirsin."", ""💡 İpucu 2: Büyük/küçük harf farkını ortadan kaldırmak için .lower() metodunu kullan."", ""💡 İpucu 3: Temizlenmiş string'i tersiyle karşılaştır: cleaned == cleaned[::-1]""]","1"
"python-basics","Emoji FizzBuzz","beginner","1'den n'e kadar say.
3'e bölünüyorsa 'Fizz🎉', 5'e bölünüyorsa 'Buzz🚀',
her ikisine de bölünüyorsa 'FizzBuzz🎊' yaz.
Diğer sayıları string olarak ekle.","def emoji_fizzbuzz(n: int) -> list:
    result = []
    for i in range(1, n+1):
        # Kodunu buraya yaz
        pass
    return result","[{""input"": 5, ""expected"": [""1"", ""2"", ""Fizz🎉"", ""4"", ""Buzz🚀""]}, {""input"": 15, ""expected"": [""1"", ""2"", ""Fizz🎉"", ""4"", ""Buzz🚀"", ""Fizz🎉"", ""7"", ""8"", ""Fizz🎉"", ""Buzz🚀"", ""11"", ""Fizz🎉"", ""13"", ""14"", ""FizzBuzz🎊""]}]","[""💡 İpucu 1: Önce hem 3 hem 5'e bölünme durumunu kontrol et (FizzBuzz🎊). Sıra önemli!"", ""💡 İpucu 2: Bölünebilirlik için % (modulo) operatörünü kullan: i % 3 == 0"", ""💡 İpucu 3: Hiçbir koşula uymuyorsa sayıyı string'e çevir: str(i)""]","2"
"python-basics","Kelimelerin En Uzunu","beginner","Bir cümledeki en uzun kelimeyi ve uzunluğunu döndür.
Birden fazla aynı uzunlukta kelime varsa ilkini döndür.
Not: Sonuç [kelime, uzunluk] şeklinde liste olmalı.","def longest_word(sentence: str) -> list:
    # Düşün: split() ile kelimeleri ayır, max ile bul
    # Döndür: [en_uzun_kelime, uzunlugu]
    pass","[{""input"": ""Python çok eğlenceli bir dil"", ""expected"": [""eğlenceli"", 9]}, {""input"": ""Merhaba dünya"", ""expected"": [""Merhaba"", 7]}, {""input"": ""a bb ccc"", ""expected"": [""ccc"", 3]}]","[""💡 İpucu 1: sentence.split() ile cümleyi kelimelere ayır."", ""💡 İpucu 2: max(words, key=len) ile en uzun kelimeyi bul."", ""💡 İpucu 3: Sonucu liste olarak döndür: [word, len(word)]""]","3"
"python-basics","Sihirli Kare Kontrolü","beginner","Verilen 3x3 liste bir sihirli kare mi?
Satır, sütun ve iki çapraz toplamların hepsi eşit olmalı.","def is_magic_square(grid: list) -> bool:
    # Her satır, sütun ve çaprazın toplamını karşılaştır
    pass","[{""input"": [[2, 7, 6], [9, 5, 1], [4, 3, 8]], ""expected"": true}, {""input"": [[1, 2, 3], [4, 5, 6], [7, 8, 9]], ""expected"": false}]","[""💡 İpucu 1: Hedef toplamı belirle: target = sum(grid[0])"", ""💡 İpucu 2: Sütunlar için: sum(grid[r][c] for r in range(3)) şeklinde döngü kur."", ""💡 İpucu 3: Çaprazlar: grid[0][0]+grid[1][1]+grid[2][2] ve grid[0][2]+grid[1][1]+grid[2][0]""]","4"
"python-basics","Sayı Tahmin Skoru","beginner","Kullanıcının tahminleri ve gerçek sayı verildiğinde,
kaç tahminin tam doğru, kaç tahminin ±5 içinde, kaç tahminin uzak olduğunu döndür.","def score_guesses(guesses: list, secret: int) -> dict:
    # {'exact': x, 'close': y, 'far': z} döndür
    pass","[{""input"": {""secret"": 10, ""guesses"": [10, 12, 50, 11]}, ""expected"": {""far"": 1, ""close"": 2, ""exact"": 1}}, {""input"": {""secret"": 100, ""guesses"": [1, 2, 3]}, ""expected"": {""far"": 3, ""close"": 0, ""exact"": 0}}]","[""💡 İpucu 1: abs(guess - secret) ile farkın mutlak değerini al."", ""💡 İpucu 2: diff == 0 ise 'exact', diff <= 5 ise 'close', değilse 'far'."", ""💡 İpucu 3: Sonuçları sayacak bir dict oluştur ve döngüde güncelle.""]","5"
"python-basics","Karakter Sayacı","beginner","Bir metindeki her karakterin kaç kez geçtiğini döndür.
Boşlukları sayma. Büyük/küçük harf duyarlı olmasın.","def char_count(text: str) -> dict:
    # Boşluk hariç her karakterin frekansını döndür
    pass","[{""input"": ""Hello World"", ""expected"": {""d"": 1, ""e"": 1, ""h"": 1, ""l"": 3, ""o"": 2, ""r"": 1, ""w"": 1}}, {""input"": ""aabbcc"", ""expected"": {""a"": 2, ""b"": 2, ""c"": 2}}]","[""💡 İpucu 1: text.lower() ile metni küçük harfe çevir."", ""💡 İpucu 2: Her karakter için boşluk kontrolü: if c != ' '"", ""💡 İpucu 3: dict.get(c, 0) + 1 ile sayacı artır ya da collections.Counter kullan.""]","6"
"python-basics","Asal Sayı Kontrolü","beginner","Verilen sayının asal olup olmadığını kontrol et.
1 ve altındaki sayılar asal değildir.","def is_prime(n: int) -> bool:
    # Asal sayı: yalnızca 1 ve kendisine bölünür
    pass","[{""input"": 2, ""expected"": true}, {""input"": 17, ""expected"": true}, {""input"": 1, ""expected"": false}, {""input"": 9, ""expected"": false}]","[""💡 İpucu 1: n <= 1 ise direkt False döndür."", ""💡 İpucu 2: 2'den √n'e kadar bölenleri kontrol et: range(2, int(n**0.5)+1)"", ""💡 İpucu 3: Herhangi bir bölen bulursan False, döngü biterse True döndür.""]","7"
"python-basics","Liste Düzleştirme","beginner","İç içe geçmiş listeyi tek seviyeli listeye dönüştür.
Yalnızca bir seviye derinlik garantilidir.","def flatten(nested: list) -> list:
    # [[1,2],[3,4],[5]] -> [1,2,3,4,5]
    pass","[{""input"": [[1, 2], [3, 4], [5]], ""expected"": [1, 2, 3, 4, 5]}, {""input"": [[10], [20, 30], [40, 50, 60]], ""expected"": [10, 20, 30, 40, 50, 60]}]","[""💡 İpucu 1: Boş bir liste oluştur ve her alt listeyi üzerine extend() et."", ""💡 İpucu 2: List comprehension ile: [item for sublist in nested for item in sublist]"", ""💡 İpucu 3: itertools.chain.from_iterable(nested) de çalışır.""]","8"
"python-basics","Fibonacci Dizisi","beginner","İlk n Fibonacci sayısını liste olarak döndür.
F(0)=0, F(1)=1, F(n)=F(n-1)+F(n-2)","def fibonacci(n: int) -> list:
    # İlk n elemanı hesapla
    pass","[{""input"": 7, ""expected"": [0, 1, 1, 2, 3, 5, 8]}, {""input"": 1, ""expected"": [0]}, {""input"": 2, ""expected"": [0, 1]}]","[""💡 İpucu 1: Özel durumlar: n==1 → [0], n==2 → [0,1]"", ""💡 İpucu 2: [0, 1] ile başla, döngüde fib[-1]+fib[-2] ekle."", ""💡 İpucu 3: while len(fib) < n: fib.append(fib[-1]+fib[-2])""]","9"
"python-basics","Anagram Kontrolü","beginner","İki kelimenin anagram olup olmadığını kontrol et.
Büyük/küçük harf ve boşluk fark etmesin.","def is_anagram(word1: str, word2: str) -> bool:
    # Anagram: aynı harfleri farklı sırada kullanan kelimeler
    pass","[{""input"": {""word1"": ""listen"", ""word2"": ""silent""}, ""expected"": true}, {""input"": {""word1"": ""hello"", ""word2"": ""world""}, ""expected"": false}, {""input"": {""word1"": ""Astronomer"", ""word2"": ""Moon starer""}, ""expected"": true}]","[""💡 İpucu 1: Her iki string'i .lower() yap ve boşlukları kaldır."", ""💡 İpucu 2: sorted() ile harfleri sırala ve karşılaştır: sorted(a) == sorted(b)"", ""💡 İpucu 3: Ya da Counter(a) == Counter(b) ile frekans karşılaştır.""]","10"
