category,title,slug,level,description,starter_code,test_cases,hints,id,function_name
python-basics,Palindrome Checker,palindrome-checker,beginner,"Bir kelimenin veya cümlenin palindrome olup olmadığını kontrol et.
Büyük/küçük harf fark etmesin, boşluk ve noktalama işaretlerini yok say.
Örnek: 'A man a plan a canal Panama' → True","def palindrome_checker(text: str) -> bool:
    # text[::-1] == text (Pythonic kısayol yasak)
    # Manuel karşılaştırma gerekli: iki uçtan içeri doğru
    pass","[{""input"": ""radar"", ""expected"": true}, {""input"": ""Python"", ""expected"": false}, {""input"": ""A man a plan a canal Panama"", ""expected"": true}, {""input"": ""hello"", ""expected"": false}]","[""💡 İpucu 1: Önce metnin yalnızca harf ve rakamlardan oluşan temiz halini oluştur. ''.join(...) ve str.isalnum() kullanabilirsin."", ""💡 İpucu 2: Büyük/küçük harf farkını ortadan kaldırmak için .lower() metodunu kullan."", ""💡 İpucu 3: Temizlenmiş string'i tersiyle karşılaştır: cleaned == cleaned[::-1]""]",1,palindrome_checker
python-basics,Emoji FizzBuzz,emoji-fizzbuzz,beginner,"1'den n'e kadar say.
3'e bölünüyorsa 'Fizz🎉', 5'e bölünüyorsa 'Buzz🚀',
her ikisine de bölünüyorsa 'FizzBuzz🎊' yaz.
Diğer sayıları string olarak ekle.","def emoji_fizzbuzz(n: int) -> list[str]:
    pass","[{""input"": 5, ""expected"": [""1"", ""2"", ""Fizz🎉"", ""4"", ""Buzz🚀""]}, {""input"": 15, ""expected"": [""1"", ""2"", ""Fizz🎉"", ""4"", ""Buzz🚀"", ""Fizz🎉"", ""7"", ""8"", ""Fizz🎉"", ""Buzz🚀"", ""11"", ""Fizz🎉"", ""13"", ""14"", ""FizzBuzz🎊""]}]","[""💡 İpucu 1: Önce hem 3 hem 5'e bölünme durumunu kontrol et (FizzBuzz🎊). Sıra önemli!"", ""💡 İpucu 2: Bölünebilirlik için % (modulo) operatörünü kullan: i % 3 == 0"", ""💡 İpucu 3: Hiçbir koşula uymuyorsa sayıyı string'e çevir: str(i)""]",2,emoji_fizzbuzz
python-basics,Kelimelerin En Uzunu,kelimelerin-en-uzunu,beginner,"Bir cümledeki en uzun kelimeyi ve uzunluğunu döndür.
Birden fazla aynı uzunlukta kelime varsa ilkini döndür.
Not: Sonuç [kelime, uzunluk] şeklinde liste olmalı.","def longest_word(x: str) -> list[str]:
    pass","[{""input"": ""Python çok eğlenceli bir dil"", ""expected"": [""eğlenceli"", 9]}, {""input"": ""Merhaba dünya"", ""expected"": [""Merhaba"", 7]}, {""input"": ""a bb ccc"", ""expected"": [""ccc"", 3]}]","[""💡 İpucu 1: sentence.split() ile cümleyi kelimelere ayır."", ""💡 İpucu 2: max(words, key=len) ile en uzun kelimeyi bul."", ""💡 İpucu 3: Sonucu liste olarak döndür: [word, len(word)]""]",3,longest_word
python-basics,Sayı Tahmin Skoru,sayi-tahmin-skoru,beginner,"Kullanıcının tahminleri ve gerçek sayı verildiğinde,
kaç tahminin tam doğru, kaç tahminin ±5 içinde, kaç tahminin uzak olduğunu döndür.","def score_guesses(nums: dict) -> dict:
    pass","[{""input"": {""guesses"": [10, 12, 50, 11], ""secret"": 10}, ""expected"": {""exact"": 1, ""close"": 2, ""far"": 1}}, {""input"": {""guesses"": [1, 2, 3], ""secret"": 100}, ""expected"": {""exact"": 0, ""close"": 0, ""far"": 3}}]","[""💡 İpucu 1: abs(guess - secret) ile farkın mutlak değerini al."", ""💡 İpucu 2: diff == 0 ise 'exact', diff <= 5 ise 'close', değilse 'far'."", ""💡 İpucu 3: Sonuçları sayacak bir dict oluştur ve döngüde güncelle.""]",5,score_guesses
python-basics,Asal Sayı Kontrolü,asal-sayi-kontrolu,beginner,"Verilen sayının asal olup olmadığını kontrol et.
1 ve altındaki sayılar asal değildir.","def prime_check(n: int) -> bool:
    # sympy.isprime, math.gcd ile kısayol yasak
    # Manuel bölme algoritması gerekli: 2'den sqrt(n)'e kadar
    pass","[{""input"": 2, ""expected"": true}, {""input"": 17, ""expected"": true}, {""input"": 1, ""expected"": false}, {""input"": 9, ""expected"": false}]","[""💡 İpucu 1: n <= 1 ise direkt False döndür."", ""💡 İpucu 2: 2'den √n'e kadar bölenleri kontrol et: range(2, int(n**0.5)+1)"", ""💡 İpucu 3: Herhangi bir bölen bulursan False, döngü biterse True döndür.""]",7,prime_check
python-basics,Fibonacci Dizisi,fibonacci-dizisi,beginner,"İlk n Fibonacci sayısını liste olarak döndür.
F(0)=0, F(1)=1 ile başlar; her sonraki sayı kendinden önceki ikisinin toplamıdır.
n=0 ise boş liste, n=1 ise [0] döndür.","def fibonacci_sequence(n: int) -> list[int]:
    # Manuel recursive veya iterative hesaplama
    pass","[{""input"": 7, ""expected"": [0, 1, 1, 2, 3, 5, 8], ""description"": ""tipik n=7""}, {""input"": 1, ""expected"": [0], ""description"": ""sınır n=1""}, {""input"": 0, ""expected"": [], ""description"": ""sınır n=0 boş liste""}, {""input"": 10, ""expected"": [0, 1, 1, 2, 3, 5, 8, 13, 21, 34], ""description"": ""uzun seri""}]","[""""İpucu 1: İlk iki eleman özel: [0] ve [0, 1]."""", """"İpucu 2: Döngü ile: a, b = b, a+b her iterasyonda."""", """"İpucu 3: List append ile n eleman biriktir.""""]",9,fibonacci_sequence
python-basics,İkinci En Büyük,i-kinci-en-buyuk,beginner,"Bir listedeki ikinci en büyük eşsiz sayıyı döndür.
Eğer yeterli eşsiz eleman yoksa None döndür.
Örnek: [3, 5, 2, 5, 6, 6, 1] → 5 (en büyük 6, ikinci en büyük 5).
Sort yerine set ile O(n) çözüm yapabilirsin.","def second_largest(nums: list[int]) -> int:
    pass","[{""input"": [3, 1, 4, 1, 5, 9, 2, 6], ""expected"": 6}, {""input"": [5, 5, 5], ""expected"": null}, {""input"": [10, 20], ""expected"": 10}]","[""💡 İpucu 1: Önce set() ile tekrarları kaldır."", ""💡 İpucu 2: sorted() veya max() kullanarak en büyükleri bul."", ""💡 İpucu 3: len(unique) < 2 ise None döndür, yoksa sorted(unique)[-2]""]",12,second_largest
python-basics,Sezar Şifresi,sezar-sifresi,beginner,"Metni n karakter kaydırarak şifrele (yalnızca İngilizce harfler, a-z).
Örnek: n=3, 'abc' → 'def'. Harf dışı karakterler (boşluk, rakam, noktalama) dokunulmaz.
Negatif n değeri sola kaydırır (decrypt). Büyük harf veya Türkçe karakter dokunulmaz, sadece a-z işlenir.","def caesar_cipher(x: dict) -> str:
    pass","[{""input"": {""text"": ""Hello"", ""shift"": 3}, ""expected"": ""Khoor""}, {""input"": {""text"": ""xyz"", ""shift"": 3}, ""expected"": ""abc""}, {""input"": {""text"": ""Hello, World!"", ""shift"": 13}, ""expected"": ""Uryyb, Jbeyq!""}]","[""💡 İpucu 1: ord() ile karakterin ASCII kodunu al, chr() ile geri dönüştür."", ""💡 İpucu 2: Büyük harf için: chr((ord(c) - ord('A') + shift) % 26 + ord('A'))"", ""💡 İpucu 3: Harf olmayanları (noktalama vb.) olduğu gibi bırak.""]",13,caesar_cipher
python-basics,Matris Transpozu,matris-transpozu,beginner,"Verilen bir matrisin transpozunu hesaplayan fonksiyon yaz. Transpoz, satırların sütun, sütunların satır olması işlemidir; her (i, j) elemanı (j, i) konumuna taşınır. Kenar durumlar: tek satırlı veya tek sütunlu matrisler.","def transpose(nums: list[int], lst: list[int]) -> list[list[int]]:
    pass","[{""input"": [[1, 2, 3], [4, 5, 6]], ""expected"": [[1, 4], [2, 5], [3, 6]]}, {""input"": [[1, 2], [3, 4], [5, 6]], ""expected"": [[1, 3, 5], [2, 4, 6]]}]","[""💡 İpucu 1: zip(*matrix) sihirli bir araçtır — satırları transpose eder."", ""💡 İpucu 2: [list(row) for row in zip(*matrix)] ile sonucu listele."", ""💡 İpucu 3: Manuel yol: result[j][i] = matrix[i][j] ile iç içe döngü.""]",14,transpose
python-basics,Run-Length Encoding,run-length-encoding,beginner,"Bir string'i run-length encoding ile sıkıştır.
Örnek: 'aaabbc' → '3a2bc'. TekrarlanMAYAN karakterler 1 ile yazılmaz.
Sadece ardışık tekrarlar sıkıştırılır. Tüm karakterler (harf, rakam, özel) desteklenir.
Edge case: boş string → boş string.","def rle_encode(x: str) -> str:
    pass","[{""input"": ""aaabbc"", ""expected"": ""3a2b1c""}, {""input"": ""aabbccdd"", ""expected"": ""2a2b2c2d""}, {""input"": ""abc"", ""expected"": ""1a1b1c""}]","[""💡 İpucu 1: Mevcut karakteri ve sayısını tut: current_char, count."", ""💡 İpucu 2: Karakter değişince sonucu ekle: result += str(count) + current_char"", ""💡 İpucu 3: Döngü bittikten sonra son grubu da eklemeyi unutma.""]",18,rle_encode
python-basics,Kelime Sıklığı,kelime-sikligi,beginner,"Bir metindeki en sık geçen k kelimeyi döndür.
Büyük/küçük harf duyarlı olmasın, noktalama işaretlerini yok say.","def top_k_words(x: dict) -> list[str]:
    pass","[{""input"": {""text"": ""bir iki bir üç iki bir"", ""k"": 2}, ""expected"": [""bir"", ""iki""]}, {""input"": {""text"": ""the cat sat on the mat the"", ""k"": 1}, ""expected"": [""the""]}]","[""💡 İpucu 1: .lower() ve .split() ile kelimeleri ayır."", ""💡 İpucu 2: collections.Counter(words) ile frekans sözlüğü oluştur."", ""💡 İpucu 3: counter.most_common(k) ile en sık k kelimeyi al.""]",19,top_k_words
python-basics,String Sıkıştırma,string-sikistirma,beginner,"Bir string'i sıkıştır: art arda tekrar eden karakterleri tek karaktere indir.
'aabbcc' → 'abc', 'aabba' → 'aba'","def compress(x: str) -> str:
    pass","[{""input"": ""aabbcc"", ""expected"": ""abc""}, {""input"": ""aabba"", ""expected"": ""aba""}, {""input"": ""abcdef"", ""expected"": ""abcdef""}]","[""💡 İpucu 1: Boş string durumunu kontrol et."", ""💡 İpucu 2: result = s[0] ile başla, sonraki karakter öncekinden farklıysa ekle."", ""💡 İpucu 3: itertools.groupby(s) ile de çözebilirsin.""]",20,compress
python-basics,Roman Numerals,roman-numerals,intermediate,"1-3999 arasındaki bir tam sayıyı Roma rakamlarına çevir.
Roma rakamları: I=1, V=5, X=10, L=50, C=100, D=500, M=1000.
Çıkarma kuralı: IV=4, IX=9, XL=40, XC=90, CD=400, CM=900.
Örnek: 1994 → 'MCMXCIV' (1000 + 900 + 90 + 4).","def to_roman(n: int) -> str:
    pass","[{""input"": 3, ""expected"": ""III""}, {""input"": 58, ""expected"": ""LVIII""}, {""input"": 1994, ""expected"": ""MCMXCIV""}]","[""💡 İpucu 1: values ve symbols listesi zaten verilmiş, sırayla karşılaştır."", ""💡 İpucu 2: num >= value iken: result += symbol, num -= value"", ""💡 İpucu 3: CM=900, CD=400 gibi özel durumlar listeye dahil edilmiş, endişelenme.""]",21,to_roman
list-dict,Sözlük Birleştirme,sozluk-birlestirme,beginner,"İki sözlüğü birleştir. Aynı anahtarlar varsa değerlerini topla.
Örnek: {a:1, b:2} + {b:3, c:4} → {a:1, b:5, c:4}.
dict.update veya **spread ile yapılabilir ama aynı key toplama özel mantık gerektirir.","def merge_dicts(x: dict) -> dict:
    pass","[{""input"": {""d1"": {""a"": 1, ""b"": 2}, ""d2"": {""b"": 3, ""c"": 4}}, ""expected"": {""a"": 1, ""b"": 5, ""c"": 4}}, {""input"": {""d1"": {}, ""d2"": {""x"": 10}}, ""expected"": {""x"": 10}}]","[""💡 İpucu 1: d1.copy() ile başla, d2'nin öğelerini üzerine ekle."", ""💡 İpucu 2: result.get(key, 0) + value ile birleştirme yap."", ""💡 İpucu 3: collections.Counter da bu iş için kullanılabilir.""]",27,merge_dicts_sum
list-dict,Fark Listesi,fark-listesi,beginner,"İki liste arasındaki farkları bul: yalnızca A'da, yalnızca B'de ve ikisinde birden olan elemanlar.","def list_diff(nums: dict) -> dict:
    pass","[{""input"": {""a"": [1, 2, 3, 4], ""b"": [3, 4, 5, 6]}, ""expected"": {""only_a"": [1, 2], ""only_b"": [5, 6], ""common"": [3, 4]}, ""description"": ""tipik iki liste""}, {""input"": {""a"": [], ""b"": [1, 2]}, ""expected"": {""only_a"": [], ""only_b"": [1, 2], ""common"": []}, ""description"": ""boş A""}, {""input"": {""a"": [1, 2, 3], ""b"": [1, 2, 3]}, ""expected"": {""only_a"": [], ""only_b"": [], ""common"": [1, 2, 3]}, ""description"": ""tamamen ortak""}, {""input"": {""a"": [1, 1, 2], ""b"": [2, 2, 3]}, ""expected"": {""only_a"": [1], ""only_b"": [3], ""common"": [2]}, ""description"": ""tekrarlı elemanlar""}]","[""💡 İpucu 1: set() dönüşümü yap: sa=set(a), sb=set(b)"", ""💡 İpucu 2: only_a = sorted(sa - sb), only_b = sorted(sb - sa)"", ""💡 İpucu 3: common = sorted(sa & sb)  (kesişim)""]",29,list_diff
