"question_id","study_slug","seo_title","category","level","keywords","meta_description","estimated_read_time_min","prereq_topics","difficulty_progression","related_question_ids"
"142","climbing-stairs","Climbing Stairs: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","beginner","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, climbing stairs, fibonacci, stairs problem, python","Climbing Stairs (Dinamik Programlama kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","recursion, memoization, base case mantığı","önce algorithms/strings temellerini bitir","143,144,145"
"143","coin-change","Coin Change: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","intermediate","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, coin change, unbounded knapsack, minimum coins, python","Coin Change (Dinamik Programlama kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","recursion, memoization, base case mantığı","önce list/dict + temel recursion tamamla","142,144,145"
"144","0-1-knapsack","0/1 Knapsack: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","intermediate","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, python, mülakat sorusu","0/1 Knapsack (Dinamik Programlama kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","recursion, memoization, base case mantığı","önce list/dict + temel recursion tamamla","142,143,145"
"145","longest-common-subsequence","Longest Common Subsequence: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","advanced","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, python, mülakat sorusu","Longest Common Subsequence (Dinamik Programlama kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","recursion, memoization, base case mantığı","önce DP/heap temellerini bitir, sonra advanced'e geç","142,143,144"
"146","longest-increasing-subsequence","Longest Increasing Subsequence: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","advanced","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, python, mülakat sorusu","Longest Increasing Subsequence (Dinamik Programlama kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","recursion, memoization, base case mantığı","önce DP/heap temellerini bitir, sonra advanced'e geç","142,143,144"
"147","maximum-subarray-kadane","Maximum Subarray (Kadane): 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","beginner","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, python, mülakat sorusu","Maximum Subarray (Kadane) (Dinamik Programlama kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","recursion, memoization, base case mantığı","önce algorithms/strings temellerini bitir","142,143,144"
"148","word-break","Word Break: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","intermediate","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, word break, string segmentation, dynamic programming, python","Word Break (Dinamik Programlama kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","recursion, memoization, base case mantığı","önce list/dict + temel recursion tamamla","142,143,144"
"149","edit-distance","Edit Distance: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","advanced","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, edit distance, levenshtein, string distance, python","Edit Distance (Dinamik Programlama kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","recursion, memoization, base case mantığı","önce DP/heap temellerini bitir, sonra advanced'e geç","142,143,144"
"150","unique-paths","Unique Paths: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","beginner","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, unique paths, grid dp, combinatorics, python","Unique Paths (Dinamik Programlama kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","recursion, memoization, base case mantığı","önce algorithms/strings temellerini bitir","142,143,144"
"151","house-robber","House Robber: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","beginner","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, house robber, robbery problem, dp classic, python","House Robber (Dinamik Programlama kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","recursion, memoization, base case mantığı","önce algorithms/strings temellerini bitir","142,143,144"
